assetId,ticker,name,assetClass,region,sourceSymbol,provider,listingExchange,listingCurrency,exposureCurrency,returnCurrency,fxTreatment,isCurrencyHedged,isin,domicile,category,distributionPolicy,replicationMethod,inceptionDate,aum,terAnnual,terAsOf,terSource,proxyAssetId,proxySpliceDate,proxyMethod,proxyRationale
IEF,IEF,iShares 7-10 Year Treasury Bond ETF,bond,us,IEF,yahoo-finance-chart-api,NasdaqGM,USD,USD,USD,unhedged,False,,,,,,2002-07-30,47020,,,,,,,
IEFA,IEFA,iShares Core MSCI EAFE ETF,equity,international,IEFA,yahoo-finance-chart-api,Cboe US,USD,USD,USD,unhedged,False,,,,,,2012-10-24,184535,,,,,,,
IEMG,IEMG,iShares Core MSCI Emerging Markets ETF,equity,emerging-markets,IEMG,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2012-10-24,156904,,,,VEIEX,2012-10-24,asset-class-proxy,VEIEX (Vanguard Emerging Markets Stock Index Fund) extends IEMG's history back to 1994-05-04; return series match exactly (correlation 1.0000) over the overlapping period.
IEUR,IEUR,iShares Core MSCI Europe ETF,equity,international,IEUR,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2014-06-12,66333,,,,,,,
IFRA,IFRA,iShares U.S. Infrastructure ETF,equity,us,IFRA,yahoo-finance-chart-api,Cboe US,USD,USD,USD,unhedged,False,,,,,,2018-04-05,,,,,,,,
IGF,IGF,iShares Global Infrastructure ETF,equity,global,IGF,yahoo-finance-chart-api,NasdaqGM,USD,USD,USD,unhedged,False,,,,,,2007-12-12,,,,,,,,
IGLA.L,IGLA.L,iShares Global Govt Bond UCITS ETF USD (Acc),bond,global,IGLA.L,yahoo-finance-chart-api,LSE,USD,USD,USD,unhedged,False,,,,,,2017-10-19,,,,,,,,
IGLB,IGLB,iShares 10+ Year Investment Grade Corporate Bond ETF,bond,us,IGLB,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2009-12-09,,,,,,,,
IGOV,IGOV,iShares International Treasury Bond ETF,bond,international,IGOV,yahoo-finance-chart-api,NasdaqGM,USD,USD,USD,unhedged,False,,,,,,2009-01-30,,,,,,,,
IJH,IJH,iShares Core S&P Mid-Cap ETF,equity,us,IJH,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2000-05-26,123500,,,,,,,
IJPA.L,IJPA.L,iShares Core MSCI Japan IMI UCITS ETF USD (Acc),equity,us,IJPA.L,yahoo-finance-chart-api,LSE,USD,USD,USD,unhedged,False,,,,,,2009-09-25,,,,,,,,
IJR,IJR,iShares Core S&P Small-Cap ETF,equity,us,IJR,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2000-05-26,56000,,,,,,,
IJT,IJT,iShares S&P Small-Cap 600 Growth ETF,equity,us,IJT,yahoo-finance-chart-api,NasdaqGM,USD,USD,USD,unhedged,False,,,,,,2000-07-28,8340,,,,,,,
INDA,INDA,iShares MSCI India ETF,equity,us,INDA,yahoo-finance-chart-api,Cboe US,USD,USD,USD,unhedged,False,,,,,,2012-02-03,,,,,,,,
IOO,IOO,iShares Global 100 ETF,equity,global,IOO,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2000-12-08,8480,,,,,,,
IVAL,IVAL,Alpha Architect International Quantitative Value ETF,equity,international,IVAL,yahoo-finance-chart-api,NasdaqGM,USD,USD,USD,unhedged,False,,,,,,2014-12-17,,,,,,,,
IWM,IWM,iShares Russell 2000 ETF,equity,us,IWM,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2000-05-26,110843,,,,,,,
IWMO.L,IWMO.L,iShares Edge MSCI World Momentum Factor UCITS ETF USD (Acc),equity,global,IWMO.L,yahoo-finance-chart-api,LSE,USD,USD,USD,unhedged,False,,,,,,2014-10-06,,,,,,,,
IWR,IWR,iShares Russell Mid-Cap ETF,equity,us,IWR,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2001-08-27,105890,,,,,,,
IWVL.L,IWVL.L,iShares Edge MSCI World Value Factor UCITS ETF USD (Acc),equity,global,IWVL.L,yahoo-finance-chart-api,LSE,USD,USD,USD,unhedged,False,,,,,,2014-10-06,,,,,,,,
JNK,JNK,State Street SPDR Bloomberg High Yield Bond ETF,bond,us,JNK,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2007-12-04,,,,,,,,
JPIN,JPIN,JPMorgan Diversified Return International Equity ETF,equity,international,JPIN,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2014-11-10,,,,,,,,
JVAL,JVAL,JPMorgan U.S. Value Factor ETF,equity,us,JVAL,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2017-11-09,,,,,,,,
KMLM,KMLM,KraneShares Mount Lucas Managed Futures Index Strategy ETF,alternative,us,KMLM,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2020-12-02,,,,,,,,
KRBN,KRBN,KraneShares Global Carbon ETF,equity,global,KRBN,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2020-07-31,,,,,,,,
KSA,KSA,iShares MSCI Saudi Arabia ETF,equity,us,KSA,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2015-09-17,,,,,,,,
KWEB,KWEB,KraneShares CSI China Internet ETF,equity,us,KWEB,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2013-08-01,,,,,,,,
LIT,LIT,Global X Lithium & Battery Tech ETF,equity,global,LIT,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2010-07-23,,,,,,,,
LTPZ,LTPZ,PIMCO 15+ Year U.S. TIPS Index Exchange-Traded Fund,bond,us,LTPZ,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2009-09-08,,,,,,,,
MBB,MBB,iShares MBS ETF,bond,us,MBB,yahoo-finance-chart-api,NasdaqGM,USD,USD,USD,unhedged,False,,,,,,2007-03-16,39400,,,,,,,
MCHI,MCHI,iShares MSCI China ETF,equity,us,MCHI,yahoo-finance-chart-api,NasdaqGM,USD,USD,USD,unhedged,False,,,,,,2011-03-31,,,,,,,,
